video_id,category,title,publishedAt,viewCount,likeCount,commentCount,durationMinutes,durationSeconds
j1fl4xglUBs,recommendation,8 SUMMER PERFUMES THAT WILL MAKE YOU SMELL LUXURIOUS,2024-08-01T13:41:56Z,512.0,74.0,6.0,11,42
-20OO2Tkz0Q,recommendation,7 Hyped Perfumes That Are Actually Worth The Hype,2024-07-27T11:00:00Z,13075.0,633.0,60.0,11,21
1PcXwt8-zj0,fun,"HOUSE UPDATES | NEW VALENTINO PERFUME, WORKING IN THE GARDEN | Monika Cioch",2024-07-25T11:36:45Z,4446.0,278.0,41.0,25,39
EtUhxgoIuyM,shorts,7 Hyped Perfumes That Are Actually Worth It   #perfumes  #topfragrances,2024-07-23T20:07:47Z,38780.0,1494.0,24.0,1,0
AikGemNjGAI,review,MAN REACTS TO KAYALI PERFUMES,2024-07-22T11:09:48Z,8790.0,610.0,54.0,12,59
9aHU5XG1Wgs,fun,24H IN PARIS | Monika Cioch,2024-07-19T11:00:08Z,5093.0,338.0,47.0,28,6
tw-SIwCkf6U,fun,"Our New Home | settling in, unpacking, making a house feel like a home",2024-07-16T11:00:59Z,6055.0,357.0,64.0,23,20
DfFjRPLJMGg,recommendation,MY 5 FAVOURITE PERFUMES NOW | Monika Cioch,2024-07-13T10:45:00Z,26368.0,1041.0,41.0,9,45
GGHnhXZyCpQ,fun,"WE FINALLY MOVED | garden tour, getting the keys 🔑 Monika Cioch",2024-07-10T11:00:26Z,7090.0,571.0,72.0,13,57
F0WsfDqT6Kk,fun,Packing My Entire Fragrance Collection 📦 Moving House | Monika Cioch,2024-07-06T11:00:11Z,6425.0,368.0,26.0,13,36
UIZe2-KLCDk,fun,Closet Clear Out | DECLUTTERING before moving | Monika Cioch,2024-06-25T13:08:16Z,4646.0,194.0,26.0,47,51
wnbgqiWDmko,recommendation,8 MOST FEMININE PERFUMES YOU CAN BUY,2024-06-22T11:00:54Z,13338.0,662.0,46.0,12,12
gq6IGibl6EA,recommendation,10 LUXURY PERFUMES THAT ARE WORTH EVERY PENNY💰,2024-06-18T13:54:12Z,15237.0,776.0,66.0,15,21
r6QhScfXPxg,recommendation,ANOTHER 10 PERFUMES I'LL NEVER STOP RECOMMENDING FOR THE REST OF MY LIFE,2024-06-13T11:54:49Z,16640.0,877.0,55.0,18,24
rLdbEFWGwg8,recommendation,25 MOST POPULAR PERFUMES RATED BY MAN 💥,2024-06-09T11:00:46Z,90086.0,3104.0,259.0,20,52
8JEqd1el-t0,recommendation,10 Perfumes That Will Make You Unforgettable To Men | best perfumes,2024-06-06T13:05:35Z,28533.0,1279.0,68.0,22,34
7THSxEaxwn0,recommendation,TOP 10 SUMMER DESIGNER PERFUMES FOR WOMEN,2024-06-01T11:15:00Z,24856.0,1070.0,54.0,14,51
r7aRwrfOJAw,recommendation,TOP 3 PERFUMES FOR EACH SEASON | Top 12 Perfumes For Women,2024-05-27T13:04:08Z,15970.0,834.0,58.0,17,14
jG_H1_4NW4M,recommendation,I OWN HUNDREDS OF FRAGRANCES BUT THESE 15 PERFUMES I'LL NEVER STOP RECOMMENDING,2024-05-19T11:00:36Z,29521.0,1267.0,77.0,23,26
F3ZGNcj4DYc,recommendation,MY 10 FAVE PERFUMES THAT ARE NOT DESIGNER | Monika Cioch,2024-05-15T12:19:50Z,11141.0,614.0,37.0,16,52
QafB1FhPvPU,recommendation,My Husband's 8 Favourite Women's Fragrances Right Now,2024-05-11T11:00:30Z,26243.0,1108.0,74.0,12,44
y0GDhzW3Nzs,recommendation,10 OVERALL BEST WOMEN'S FRAGRANCES TO WEAR IN 2024,2024-05-05T12:30:20Z,67229.0,2075.0,115.0,15,42
Zl4uQrLrtTY,recommendation,TOP 13 SUMMER ☀️ PERFUMES FOR WOMEN 2024,2024-05-01T12:46:55Z,34617.0,1171.0,118.0,18,31
6tDRDJbSRDc,recommendation,13 SEDUCTIVE & GOURMAND PERFUMES FOR WOMEN,2024-04-27T11:00:05Z,10646.0,631.0,37.0,19,7
Hg9JfTW87Qk,fun,LIFE UPDATE | Monika Cioch,2024-04-23T11:00:13Z,11523.0,499.0,73.0,29,11
cBE5mMoCaR0,recommendation,Top 14 STRONGEST PERFUMES FOR WOMEN,2024-04-20T11:00:33Z,16161.0,760.0,59.0,19,2
V_kXclk1MX4,recommendation,Top Perfumes For Women 30+,2024-04-14T12:28:02Z,12777.0,585.0,60.0,16,42
xYFNL0GrPP4,review,"MAN REACTS TO 16 SEXIEST PERFUMES FOR WOMEN 2024 | Burberry, Givenchy, Lancome, Armani",2024-04-11T12:02:02Z,129446.0,3739.0,181.0,17,13
mUNoUlkyxwA,recommendation,10 PERFUMES FOR WOMEN THAT WILL GET YOU COMPLIMENTS FROM MEN,2024-04-07T11:00:39Z,25301.0,1138.0,62.0,15,45
XiSrzFbW7LA,recommendation,Top 10 SPRING DESIGNER Perfumes For Women 🌸,2024-04-04T12:52:51Z,16050.0,794.0,56.0,15,8
ujpi68cOqr4,recommendation,Top 10 Everyday Long-Lasting Perfumes For Women,2024-03-30T10:00:47Z,25021.0,990.0,35.0,15,57
3Z737oiEqrI,recommendation,9 CROWD PLEASING PERFUMES FOR WOMEN,2024-03-23T14:34:33Z,25832.0,988.0,82.0,14,53
1FIr_dM90PY,shorts,ALL TIME BEST DESIGNER EVERYDAY PERFUMES part 2 #womensfragrances #designerperfumes,2024-03-21T15:28:54Z,18838.0,832.0,10.0,1,0
-FsCCm--_m4,shorts,ALL TIME BEST EVERYDAY DESIGNER PERFUMES part 1 #perfume #womensfragrances,2024-03-20T10:59:02Z,49198.0,2548.0,34.0,0,57
m2jrrQVyh6o,recommendation,My Favourite Perfumes To Wear Now | Monika Cioch,2024-03-16T12:00:49Z,19611.0,788.0,61.0,12,12
0KUUvGrC_rI,recommendation,8 Perfumes You Shouldn't Sleep On | underrated fragrances for women,2024-03-14T12:00:01Z,10403.0,545.0,44.0,13,34
rT5yAVk-KN0,recommendation,9 DESIGNER PERFUMES I CANNOT LIVE WITHOUT | top fragrances for women,2024-03-11T12:48:58Z,35079.0,1503.0,70.0,12,45
9jZbYAWnh8s,review,Gaultier Divine Perfume Review | Is it worth your money?,2024-03-06T10:30:06Z,6828.0,273.0,33.0,8,1
QNCb6JaURfo,review,BURBERRY HER Fragrance Line Comparison,2024-03-02T11:35:54Z,26782.0,733.0,63.0,8,15
KdRBVgB0ywc,recommendation,Top 10 SPRING Fragrances For Women 2024,2024-02-29T11:30:15Z,31476.0,1307.0,61.0,15,4
8oJFFuxv-CA,review,MAN REACTS TO TOP 15 PERFUMES FOR WOMEN 2024,2024-02-24T12:00:08Z,281782.0,6136.0,309.0,20,37
snENW8bSgNI,recommendation,TOP 10 SEXIEST PERFUMES FOR WOMEN 2024,2024-02-17T11:30:31Z,79512.0,1642.0,83.0,8,17
mHwpuM-dZxw,fun,ANXIETY PROGRESS 5 MONTHS IN | what has helped so far,2024-02-12T13:00:42Z,4883.0,338.0,62.0,18,1
3LQLEdfaiDc,recommendation,TOP 1ST DATE PERFUMES FOR WOMEN | don't give 'desperate girl' vibes,2024-02-10T12:00:02Z,15281.0,839.0,69.0,17,50
HoLUX1Op7cQ,recommendation,TOP 10 SIGNATURE PERFUMES FOR WOMEN,2024-02-05T12:37:10Z,24060.0,962.0,56.0,15,37
EP_ojeA-ens,recommendation,10 NICHE FRAGRANCES I CANNOT LIVE WITHOUT | Monika Cioch,2024-02-03T12:00:11Z,24504.0,5311.0,161.0,19,52
TsLUcOWGgQ8,recommendation,Top 12 ROSE 🌹 Perfumes For Women,2024-02-01T12:00:23Z,15686.0,687.0,83.0,19,55
