video_id,category,title,publishedAt,viewCount,likeCount,commentCount,duration
j1fl4xglUBs,recommendation,8 SUMMER PERFUMES THAT WILL MAKE YOU SMELL LUXURIOUS,2024-08-01T13:41:56Z,512,74,6,PT11M42S
-20OO2Tkz0Q,recommendation,7 Hyped Perfumes That Are Actually Worth The Hype,2024-07-27T11:00:00Z,13075,633,60,PT11M21S
1PcXwt8-zj0,fun,"HOUSE UPDATES | NEW VALENTINO PERFUME, WORKING IN THE GARDEN | Monika Cioch",2024-07-25T11:36:45Z,4446,278,41,PT25M39S
EtUhxgoIuyM,shorts,7 Hyped Perfumes That Are Actually Worth It   #perfumes  #topfragrances,2024-07-23T20:07:47Z,38780,1494,24,PT1M0S
AikGemNjGAI,review,MAN REACTS TO KAYALI PERFUMES,2024-07-22T11:09:48Z,8790,610,54,PT12M59S
9aHU5XG1Wgs,fun,24H IN PARIS | Monika Cioch,2024-07-19T11:00:08Z,5093,338,47,PT28M6S
tw-SIwCkf6U,fun,"Our New Home | settling in, unpacking, making a house feel like a home",2024-07-16T11:00:59Z,6055,357,64,PT23M20S
DfFjRPLJMGg,recommendation,MY 5 FAVOURITE PERFUMES NOW | Monika Cioch,2024-07-13T10:45:00Z,26368,1041,41,PT9M45S
GGHnhXZyCpQ,fun,"WE FINALLY MOVED | garden tour, getting the keys 🔑 Monika Cioch",2024-07-10T11:00:26Z,7090,571,72,PT13M57S
F0WsfDqT6Kk,fun,Packing My Entire Fragrance Collection 📦 Moving House | Monika Cioch,2024-07-06T11:00:11Z,6425,368,26,PT13M36S
UIZe2-KLCDk,fun,Closet Clear Out | DECLUTTERING before moving | Monika Cioch,2024-06-25T13:08:16Z,4646,194,26,PT47M51S
wnbgqiWDmko,recommendation,8 MOST FEMININE PERFUMES YOU CAN BUY,2024-06-22T11:00:54Z,13338,662,46,PT12M12S
gq6IGibl6EA,recommendation,10 LUXURY PERFUMES THAT ARE WORTH EVERY PENNY💰,2024-06-18T13:54:12Z,15237,776,66,PT15M21S
r6QhScfXPxg,recommendation,ANOTHER 10 PERFUMES I'LL NEVER STOP RECOMMENDING FOR THE REST OF MY LIFE,2024-06-13T11:54:49Z,16640,877,55,PT18M24S
rLdbEFWGwg8,recommendation,25 MOST POPULAR PERFUMES RATED BY MAN 💥,2024-06-09T11:00:46Z,90086,3104,259,PT20M52S
8JEqd1el-t0,recommendation,10 Perfumes That Will Make You Unforgettable To Men | best perfumes,2024-06-06T13:05:35Z,28533,1279,68,PT22M34S
7THSxEaxwn0,recommendation,TOP 10 SUMMER DESIGNER PERFUMES FOR WOMEN,2024-06-01T11:15:00Z,24856,1070,54,PT14M51S
r7aRwrfOJAw,recommendation,TOP 3 PERFUMES FOR EACH SEASON | Top 12 Perfumes For Women,2024-05-27T13:04:08Z,15970,834,58,PT17M14S
jG_H1_4NW4M,recommendation,I OWN HUNDREDS OF FRAGRANCES BUT THESE 15 PERFUMES I'LL NEVER STOP RECOMMENDING,2024-05-19T11:00:36Z,29521,1267,77,PT23M26S
F3ZGNcj4DYc,recommendation,MY 10 FAVE PERFUMES THAT ARE NOT DESIGNER | Monika Cioch,2024-05-15T12:19:50Z,11141,614,37,PT16M52S
QafB1FhPvPU,recommendation,My Husband's 8 Favourite Women's Fragrances Right Now,2024-05-11T11:00:30Z,26243,1108,74,PT12M44S
y0GDhzW3Nzs,recommendation,10 OVERALL BEST WOMEN'S FRAGRANCES TO WEAR IN 2024,2024-05-05T12:30:20Z,67229,2075,115,PT15M42S
Zl4uQrLrtTY,recommendation,TOP 13 SUMMER ☀️ PERFUMES FOR WOMEN 2024,2024-05-01T12:46:55Z,34617,1171,118,PT18M31S
6tDRDJbSRDc,recommendation,13 SEDUCTIVE & GOURMAND PERFUMES FOR WOMEN,2024-04-27T11:00:05Z,10646,631,37,PT19M7S
Hg9JfTW87Qk,fun,LIFE UPDATE | Monika Cioch,2024-04-23T11:00:13Z,11523,499,73,PT29M11S
cBE5mMoCaR0,recommendation,Top 14 STRONGEST PERFUMES FOR WOMEN,2024-04-20T11:00:33Z,16161,760,59,PT19M2S
V_kXclk1MX4,recommendation,Top Perfumes For Women 30+,2024-04-14T12:28:02Z,12777,585,60,PT16M42S
xYFNL0GrPP4,review,"MAN REACTS TO 16 SEXIEST PERFUMES FOR WOMEN 2024 | Burberry, Givenchy, Lancome, Armani",2024-04-11T12:02:02Z,129446,3739,181,PT17M13S
mUNoUlkyxwA,recommendation,10 PERFUMES FOR WOMEN THAT WILL GET YOU COMPLIMENTS FROM MEN,2024-04-07T11:00:39Z,25301,1138,62,PT15M45S
XiSrzFbW7LA,recommendation,Top 10 SPRING DESIGNER Perfumes For Women 🌸,2024-04-04T12:52:51Z,16050,794,56,PT15M8S
ujpi68cOqr4,recommendation,Top 10 Everyday Long-Lasting Perfumes For Women,2024-03-30T10:00:47Z,25021,990,35,PT15M57S
3Z737oiEqrI,recommendation,9 CROWD PLEASING PERFUMES FOR WOMEN,2024-03-23T14:34:33Z,25832,988,82,PT14M53S
1FIr_dM90PY,shorts,ALL TIME BEST DESIGNER EVERYDAY PERFUMES part 2 #womensfragrances #designerperfumes,2024-03-21T15:28:54Z,18838,832,10,PT1M0S
-FsCCm--_m4,shorts,ALL TIME BEST EVERYDAY DESIGNER PERFUMES part 1 #perfume #womensfragrances,2024-03-20T10:59:02Z,49198,2548,34,PT0M57S
m2jrrQVyh6o,recommendation,My Favourite Perfumes To Wear Now | Monika Cioch,2024-03-16T12:00:49Z,19611,788,61,PT12M12S
0KUUvGrC_rI,recommendation,8 Perfumes You Shouldn't Sleep On | underrated fragrances for women,2024-03-14T12:00:01Z,10403,545,44,PT13M34S
rT5yAVk-KN0,recommendation,9 DESIGNER PERFUMES I CANNOT LIVE WITHOUT | top fragrances for women,2024-03-11T12:48:58Z,35079,1503,70,PT12M45S
9jZbYAWnh8s,review,Gaultier Divine Perfume Review | Is it worth your money?,2024-03-06T10:30:06Z,6828,273,33,PT8M1S
QNCb6JaURfo,review,BURBERRY HER Fragrance Line Comparison,2024-03-02T11:35:54Z,26782,733,63,PT8M15S
KdRBVgB0ywc,recommendation,Top 10 SPRING Fragrances For Women 2024,2024-02-29T11:30:15Z,31476,1307,61,PT15M4S
8oJFFuxv-CA,review,MAN REACTS TO TOP 15 PERFUMES FOR WOMEN 2024,2024-02-24T12:00:08Z,281782,6136,309,PT20M37S
snENW8bSgNI,recommendation,TOP 10 SEXIEST PERFUMES FOR WOMEN 2024,2024-02-17T11:30:31Z,79512,1642,83,PT8M17S
mHwpuM-dZxw,fun,ANXIETY PROGRESS 5 MONTHS IN | what has helped so far,2024-02-12T13:00:42Z,4883,338,62,PT18M1S
3LQLEdfaiDc,recommendation,TOP 1ST DATE PERFUMES FOR WOMEN | don't give 'desperate girl' vibes,2024-02-10T12:00:02Z,15281,839,69,PT17M50S
HoLUX1Op7cQ,recommendation,TOP 10 SIGNATURE PERFUMES FOR WOMEN,2024-02-05T12:37:10Z,24060,962,56,PT15M37S
EP_ojeA-ens,recommendation,10 NICHE FRAGRANCES I CANNOT LIVE WITHOUT | Monika Cioch,2024-02-03T12:00:11Z,24504,5311,161,PT19M52S
TsLUcOWGgQ8,recommendation,Top 12 ROSE 🌹 Perfumes For Women,2024-02-01T12:00:23Z,15686,687,83,PT19M55S
